ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 04/12/2020 10:32,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
01/09/2020,Auckland,0,0,0,0,0,0,107,19,117,12,0,255
01/09/2020,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
01/09/2020,Canterbury,0,0,0,0,0,0,63,16,99,7,0,185
01/09/2020,Capital and Coast,0,0,0,0,0,0,54,37,4,1,0,96
01/09/2020,Counties Manukau,2,0,4,0,0,6,99,20,112,13,0,244
01/09/2020,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
01/09/2020,Hutt Valley,0,0,0,0,0,0,14,6,2,0,0,22
01/09/2020,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
01/09/2020,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
01/09/2020,Nelson Marlborough,0,0,0,0,0,0,26,15,4,4,0,49
01/09/2020,Northland,0,0,0,0,0,0,12,7,4,5,0,28
01/09/2020,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
01/09/2020,Southern,0,0,0,0,0,0,52,131,14,19,0,216
01/09/2020,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
01/09/2020,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
01/09/2020,Waikato,0,0,0,0,0,0,55,127,4,2,0,188
