ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 05/02/2021 20:21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
30/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
30/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
30/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
30/01/2021,Waitemata,0,0,0,0,0,0,86,34,170,9,0,299
30/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
30/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
29/01/2021,Auckland,0,0,0,0,0,0,281,26,119,13,0,439
29/01/2021,Bay of Plenty,0,0,0,0,0,0,23,16,5,5,0,49
29/01/2021,Canterbury,1,0,0,0,0,1,202,18,99,8,0,327
29/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
29/01/2021,Counties Manukau,1,0,0,0,0,1,261,29,118,15,0,423
29/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
29/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
29/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
29/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
29/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
29/01/2021,Northland,0,0,0,0,0,0,12,8,4,5,0,29
29/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
29/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
29/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
29/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
29/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
29/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
29/01/2021,Waitemata,0,0,0,0,0,0,86,34,170,9,0,299
29/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
29/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
28/01/2021,Auckland,4,0,0,0,0,4,281,26,119,13,0,439
28/01/2021,Bay of Plenty,0,0,0,0,0,0,23,16,5,5,0,49
28/01/2021,Canterbury,0,0,0,0,0,0,201,18,99,8,0,326
28/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
28/01/2021,Counties Manukau,1,0,0,0,0,1,260,29,118,15,0,422
28/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
28/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
28/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
28/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
28/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
28/01/2021,Northland,0,0,0,0,0,0,12,8,4,5,0,29
28/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
28/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
28/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
28/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
28/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
28/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
28/01/2021,Waitemata,0,0,0,0,0,0,86,34,170,9,0,299
28/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
28/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
27/01/2021,Auckland,1,0,0,0,0,1,277,26,119,13,0,435
27/01/2021,Bay of Plenty,1,0,0,0,0,1,23,16,5,5,0,49
27/01/2021,Canterbury,0,0,0,0,0,0,201,18,99,8,0,326
27/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
27/01/2021,Counties Manukau,2,0,0,0,0,2,259,29,118,15,0,421
27/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
27/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
27/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
27/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
27/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
27/01/2021,Northland,0,0,0,0,0,0,12,8,4,5,0,29
27/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
27/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
27/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
27/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
27/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
27/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
27/01/2021,Waitemata,0,2,0,0,0,2,86,34,170,9,0,299
27/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
27/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
26/01/2021,Auckland,1,0,0,0,0,1,276,26,119,13,0,434
26/01/2021,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
26/01/2021,Canterbury,0,0,0,0,0,0,201,18,99,8,0,326
